title,pub_date,url,source_name,doc_type,province,province_code,bond_name,bond_code,bond_short_name,bond_market_type,category_code,category_label,term,total_amount_yi,new_amount_yi,swap_amount_yi,refi_amount_yi,batch_label,coupon_rate_pct,issue_date,value_date,payment_freq,redemption_structure,extraction_method,warnings
2018年贵州省政府一般债券（七期）第一次续发行结果公告,2018-10-26,https://www.celma.org.cn/fxjg/40202.jhtml,fxjg,result,贵州省,52,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年新疆维吾尔自治区（新疆生产建设兵团）一般债券（一期至二期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/44581.jhtml,fxjg,result,新疆维吾尔自治区,65,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年广西壮族自治区政府一般债券（七期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/44979.jhtml,fxjg,result,广西壮族自治区,45,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年安徽省政府专项债券（十至十一期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/41822.jhtml,fxjg,result,安徽省,34,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年新疆维吾尔自治区（新疆生产建设兵团）专项债券（一期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/44580.jhtml,fxjg,result,新疆维吾尔自治区,65,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年新疆维吾尔自治区（新疆生产建设兵团）专项债券（一期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/38146.jhtml,fxjg,result,新疆维吾尔自治区,65,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年广西壮族自治区政府一般债券（七期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/39937.jhtml,fxjg,result,广西壮族自治区,45,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年安徽省政府专项债券（十至十一期）发行结果公告,2018-10-30,https://www.celma.org.cn/fxjg/41133.jhtml,fxjg,result,安徽省,34,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年第五批天津市政府债券发行结果公告,2018-10-31,https://www.celma.org.cn/fxjg/41818.jhtml,fxjg,result,天津市,12,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年山西省政府一般债券（十期）2018年山西省政府专项债券（十二至十五期）发行结果公告,2018-10-31,https://www.celma.org.cn/fxjg/37949.jhtml,fxjg,result,山西省,14,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年山西省政府一般债券（十期）2018年山西省政府专项债券（十二至十五期）发行结果公告,2018-10-31,https://www.celma.org.cn/fxjg/44978.jhtml,fxjg,result,山西省,14,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年北京市政府一般债券（五期至七期）专项债券（六期至八期）发行结果公告,2018-10-31,https://www.celma.org.cn/fxjg/44579.jhtml,fxjg,result,北京市,11,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年四川省政府一般债券（十二期）发行结果公告,2018-11-08,https://www.celma.org.cn/fxjg/38145.jhtml,fxjg,result,四川省,51,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年四川省政府一般债券（十二期）发行结果公告,2018-11-08,https://www.celma.org.cn/fxjg/41488.jhtml,fxjg,result,四川省,51,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年大连市政府专项债券（七期）发行结果公告,2018-11-13,https://www.celma.org.cn/fxjg/44578.jhtml,fxjg,result,大连市,2102,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年大连市政府专项债券（七期）发行结果公告,2018-11-13,https://www.celma.org.cn/fxjg/42083.jhtml,fxjg,result,大连市,2102,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年大连市政府一般债券（七期）发行结果公告,2018-11-13,https://www.celma.org.cn/fxjg/44515.jhtml,fxjg,result,大连市,2102,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年大连市政府一般债券（七期）发行结果公告,2018-11-13,https://www.celma.org.cn/fxjg/39793.jhtml,fxjg,result,大连市,2102,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年湖南省政府一般债券（三期）第二次续发行结果公告,2018-11-14,https://www.celma.org.cn/fxjg/38144.jhtml,fxjg,result,湖南省,43,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年湖南省政府专项债券（十一期）发行结果公告,2018-11-14,https://www.celma.org.cn/fxjg/42760.jhtml,fxjg,result,湖南省,43,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年湖南省政府一般债券（三期）第二次续发行结果公告,2018-11-14,https://www.celma.org.cn/fxjg/42762.jhtml,fxjg,result,湖南省,43,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年湖南省政府专项债券（十一期）发行结果公告,2018-11-14,https://www.celma.org.cn/fxjg/38143.jhtml,fxjg,result,湖南省,43,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
2018年江西省政府一般债券(九期）发行结果公告,2018-11-16,https://www.celma.org.cn/fxjg/38874.jhtml,fxjg,result,江西省,36,,,,,,,,,,,,,,,,,,unsupported_legacy_format,2020年以前的旧版发行结果公告无债券编码字段，需另行处理
